customer_id,salary_day,true_intent_to_pay,reattempt_propensity,annoyance_threshold,resp_sms,resp_whatsapp,resp_email,tech_savviness
CUST_00000,7,0.602,0.745,2,0.177,0.477,0.035,0.42
CUST_00001,1,0.303,0.588,3,0.293,0.623,0.135,0.873
CUST_00002,2,0.554,0.595,4,0.295,0.558,0.173,0.949
CUST_00003,2,0.607,0.494,5,0.278,0.291,0.038,0.214
CUST_00004,1,0.759,0.512,5,0.407,0.369,0.115,0.353
CUST_00005,2,0.178,0.147,2,0.27,0.281,0.159,0.721
CUST_00006,25,0.747,0.218,3,0.125,0.534,0.069,0.948
CUST_00007,10,0.936,0.264,5,0.134,0.431,0.088,0.485
CUST_00008,25,0.916,0.521,5,0.193,0.603,0.107,0.432
CUST_00009,5,0.869,0.121,3,0.142,0.651,0.072,0.682
CUST_00010,7,0.675,0.088,4,0.229,0.321,0.172,0.973
CUST_00011,5,0.513,0.483,4,0.132,0.441,0.077,0.08
CUST_00012,15,0.687,0.076,4,0.415,0.345,0.072,0.3
CUST_00013,7,0.469,0.78,3,0.207,0.608,0.069,0.301
CUST_00014,25,0.754,0.294,3,0.312,0.48,0.095,0.5
CUST_00015,15,0.845,0.557,5,0.337,0.656,0.135,0.548
CUST_00016,10,0.587,0.215,3,0.17,0.261,0.072,0.862
CUST_00017,1,0.925,0.209,3,0.397,0.455,0.166,0.621
CUST_00018,15,0.867,0.471,3,0.127,0.379,0.076,0.755
CUST_00019,1,0.649,0.711,4,0.434,0.439,0.157,0.772
CUST_00020,3,0.913,0.373,3,0.118,0.421,0.066,0.591
CUST_00021,2,0.682,0.145,3,0.176,0.565,0.16,0.234
CUST_00022,7,0.446,0.53,5,0.374,0.406,0.103,0.634
CUST_00023,3,0.862,0.45,3,0.398,0.624,0.045,0.652
CUST_00024,7,0.512,0.496,4,0.133,0.35,0.148,0.525
CUST_00025,1,0.588,0.226,5,0.284,0.377,0.047,0.423
CUST_00026,15,0.76,0.114,3,0.126,0.533,0.039,0.526
CUST_00027,3,0.635,0.689,4,0.155,0.328,0.043,0.78
CUST_00028,7,0.921,0.269,2,0.341,0.565,0.19,0.637
CUST_00029,25,0.952,0.348,3,0.132,0.407,0.087,0.756
CUST_00030,2,0.636,0.412,4,0.366,0.342,0.123,0.81
CUST_00031,1,0.714,0.257,5,0.278,0.646,0.177,0.543
CUST_00032,3,0.669,0.507,4,0.3,0.355,0.162,0.186
CUST_00033,5,0.727,0.465,3,0.439,0.402,0.148,0.418
CUST_00034,1,0.777,0.503,5,0.116,0.608,0.08,0.526
CUST_00035,15,0.719,0.017,2,0.255,0.406,0.13,0.785
CUST_00036,25,0.562,0.39,5,0.2,0.609,0.133,0.462
CUST_00037,2,0.792,0.203,3,0.42,0.624,0.074,0.568
CUST_00038,7,0.786,0.465,5,0.138,0.355,0.034,0.358
CUST_00039,3,0.794,0.452,5,0.399,0.295,0.147,0.694
CUST_00040,5,0.573,0.314,3,0.404,0.398,0.055,0.611
CUST_00041,1,0.656,0.779,5,0.115,0.602,0.177,0.621
CUST_00042,1,0.618,0.616,4,0.328,0.596,0.153,0.629
CUST_00043,1,0.338,0.528,3,0.333,0.588,0.178,0.645
CUST_00044,2,0.617,0.814,4,0.194,0.331,0.149,0.952
CUST_00045,1,0.753,0.744,4,0.195,0.548,0.113,0.614
CUST_00046,1,0.845,0.334,4,0.125,0.638,0.037,0.177
CUST_00047,15,0.783,0.481,2,0.278,0.658,0.089,0.866
CUST_00048,10,0.727,0.808,3,0.206,0.374,0.04,0.629
CUST_00049,3,0.538,0.484,2,0.415,0.405,0.151,0.742
CUST_00050,2,0.668,0.215,4,0.417,0.643,0.087,0.714
CUST_00051,10,0.621,0.444,3,0.227,0.331,0.066,0.784
CUST_00052,10,0.774,0.735,3,0.337,0.357,0.106,0.528
CUST_00053,25,0.758,0.129,2,0.396,0.633,0.078,0.745
CUST_00054,1,0.228,0.214,4,0.257,0.252,0.043,0.454
CUST_00055,10,0.962,0.281,3,0.246,0.549,0.045,0.67
CUST_00056,7,0.623,0.061,4,0.321,0.615,0.041,0.813
CUST_00057,1,0.836,0.078,4,0.235,0.688,0.114,0.588
CUST_00058,1,0.711,0.81,3,0.449,0.374,0.197,0.463
CUST_00059,10,0.64,0.565,3,0.285,0.429,0.14,0.337
CUST_00060,1,0.592,0.294,3,0.222,0.279,0.122,0.695
CUST_00061,10,0.506,0.684,5,0.352,0.487,0.161,0.665
CUST_00062,1,0.769,0.245,4,0.188,0.536,0.124,0.368
CUST_00063,15,0.661,0.526,3,0.32,0.38,0.193,0.482
CUST_00064,2,0.544,0.167,3,0.194,0.362,0.046,0.434
CUST_00065,3,0.783,0.331,3,0.397,0.444,0.18,0.762
CUST_00066,1,0.622,0.215,3,0.275,0.27,0.053,0.548
CUST_00067,1,0.649,0.342,5,0.304,0.609,0.153,0.406
CUST_00068,15,0.91,0.229,4,0.422,0.643,0.155,0.492
CUST_00069,2,0.728,0.587,3,0.441,0.384,0.079,0.562
CUST_00070,25,0.875,0.427,3,0.289,0.67,0.148,0.35
CUST_00071,1,0.769,0.295,5,0.131,0.508,0.121,0.361
CUST_00072,1,0.735,0.378,3,0.165,0.581,0.164,0.805
CUST_00073,1,0.781,0.649,2,0.329,0.562,0.041,0.432
CUST_00074,7,0.815,0.439,3,0.332,0.348,0.072,0.909
CUST_00075,5,0.572,0.461,4,0.259,0.481,0.108,0.159
CUST_00076,1,0.883,0.606,3,0.404,0.658,0.094,0.659
CUST_00077,1,0.32,0.541,3,0.428,0.576,0.049,0.591
CUST_00078,1,0.875,0.257,3,0.309,0.553,0.085,0.413
CUST_00079,3,0.54,0.407,3,0.397,0.385,0.15,0.71
CUST_00080,15,0.729,0.376,3,0.268,0.641,0.087,0.942
CUST_00081,10,0.748,0.649,3,0.394,0.661,0.093,0.726
CUST_00082,2,0.747,0.269,4,0.159,0.574,0.113,0.931
CUST_00083,7,0.414,0.506,2,0.293,0.255,0.12,0.91
CUST_00084,1,0.823,0.305,3,0.339,0.632,0.141,0.926
CUST_00085,10,0.909,0.045,3,0.116,0.283,0.187,0.342
CUST_00086,1,0.811,0.069,3,0.371,0.263,0.076,0.574
CUST_00087,1,0.649,0.395,2,0.257,0.5,0.099,0.526
CUST_00088,15,0.809,0.425,3,0.127,0.363,0.072,0.81
CUST_00089,2,0.864,0.309,3,0.302,0.359,0.094,0.905
CUST_00090,7,0.59,0.594,3,0.331,0.572,0.164,0.337
CUST_00091,15,0.912,0.426,5,0.337,0.43,0.158,0.559
CUST_00092,1,0.659,0.243,4,0.212,0.385,0.168,0.298
CUST_00093,25,0.798,0.316,3,0.236,0.567,0.065,0.922
CUST_00094,5,0.7,0.272,4,0.204,0.527,0.044,0.511
CUST_00095,7,0.771,0.606,2,0.148,0.617,0.194,0.492
CUST_00096,1,0.744,0.768,4,0.388,0.415,0.17,0.249
CUST_00097,2,0.89,0.354,2,0.149,0.343,0.065,0.428
CUST_00098,7,0.358,0.264,4,0.367,0.554,0.113,0.678
CUST_00099,2,0.159,0.44,3,0.176,0.443,0.066,0.586
CUST_00100,10,0.994,0.412,2,0.426,0.373,0.141,0.539
CUST_00101,1,0.961,0.645,2,0.234,0.579,0.047,0.753
CUST_00102,7,0.63,0.591,3,0.234,0.683,0.083,0.725
CUST_00103,2,0.577,0.244,3,0.285,0.69,0.198,0.823
CUST_00104,1,0.497,0.313,3,0.316,0.375,0.083,0.4
CUST_00105,7,0.559,0.208,4,0.346,0.324,0.192,0.475
CUST_00106,10,0.516,0.171,3,0.229,0.365,0.047,0.776
CUST_00107,25,0.846,0.46,3,0.276,0.656,0.06,0.754
CUST_00108,2,0.705,0.418,4,0.433,0.251,0.142,0.918
CUST_00109,15,0.759,0.139,5,0.183,0.367,0.084,0.608
CUST_00110,1,0.687,0.327,2,0.34,0.622,0.148,0.355
CUST_00111,1,0.54,0.231,2,0.388,0.418,0.137,0.782
