customer_id,tenure_months,past_payment_count,past_failure_count,preferred_channel,opted_out,lifetime_value
CUST_00000,6,4,0,whatsapp,False,5819
CUST_00001,1,1,0,sms,False,1530
CUST_00002,3,1,0,email,False,2431
CUST_00003,1,1,0,whatsapp,False,3068
CUST_00004,1,1,0,whatsapp,False,401
CUST_00005,6,1,0,whatsapp,False,1366
CUST_00006,12,9,0,email,False,16787
CUST_00007,3,3,0,email,False,1670
CUST_00008,3,3,0,whatsapp,False,1731
CUST_00009,6,6,0,whatsapp,False,9761
CUST_00010,3,2,0,sms,False,1463
CUST_00011,12,7,0,sms,False,21963
CUST_00012,24,22,5,whatsapp,False,10490
CUST_00013,36,17,2,whatsapp,False,35058
CUST_00014,12,10,0,whatsapp,False,13731
CUST_00015,12,12,1,sms,False,38323
CUST_00016,12,7,1,whatsapp,False,17036
CUST_00017,24,24,4,whatsapp,False,50361
CUST_00018,12,12,0,whatsapp,False,20266
CUST_00019,6,3,0,whatsapp,False,2734
CUST_00020,24,24,0,sms,False,83993
CUST_00021,1,1,0,whatsapp,False,1629
CUST_00022,24,10,2,whatsapp,False,25926
CUST_00023,24,22,1,whatsapp,False,68837
CUST_00024,6,4,0,whatsapp,False,4717
CUST_00025,36,25,4,sms,False,48043
CUST_00026,1,1,0,whatsapp,False,2019
CUST_00027,12,8,1,email,False,18701
CUST_00028,3,2,0,whatsapp,False,6694
CUST_00029,3,3,0,whatsapp,False,4125
CUST_00030,6,4,0,email,False,7321
CUST_00031,6,5,0,sms,False,17482
CUST_00032,6,5,1,email,False,2573
CUST_00033,6,4,0,whatsapp,False,2045
CUST_00034,12,10,0,email,False,11465
CUST_00035,3,2,0,sms,False,4363
CUST_00036,12,8,1,whatsapp,False,19229
CUST_00037,3,2,0,sms,False,6132
CUST_00038,36,31,4,sms,False,25437
CUST_00039,3,2,0,whatsapp,False,4778
CUST_00040,1,1,0,sms,False,940
CUST_00041,12,9,2,sms,False,20571
CUST_00042,6,4,0,whatsapp,False,6241
CUST_00043,6,1,0,sms,False,3020
CUST_00044,6,4,0,whatsapp,True,10851
CUST_00045,12,10,1,sms,False,22579
CUST_00046,6,5,0,sms,False,11580
CUST_00047,12,12,2,sms,False,23181
CUST_00048,24,17,3,email,False,33522
CUST_00049,6,3,0,whatsapp,False,5001
CUST_00050,12,9,1,email,False,14109
CUST_00051,1,1,0,email,True,1443
CUST_00052,3,3,0,whatsapp,False,10008
CUST_00053,3,2,0,sms,False,3912
CUST_00054,6,1,0,sms,False,1701
CUST_00055,12,12,0,sms,False,17626
CUST_00056,3,1,0,whatsapp,False,2083
CUST_00057,12,10,1,whatsapp,False,13957
CUST_00058,36,26,4,whatsapp,True,15819
CUST_00059,6,4,0,sms,False,13954
CUST_00060,12,9,1,sms,False,7474
CUST_00061,12,7,0,email,False,22562
CUST_00062,1,1,0,whatsapp,False,2275
CUST_00063,1,1,0,whatsapp,False,2280
CUST_00064,24,13,1,whatsapp,False,35953
CUST_00065,6,5,0,sms,False,13848
CUST_00066,6,4,0,sms,False,10767
CUST_00067,6,5,0,sms,False,11605
CUST_00068,12,12,1,sms,False,17534
CUST_00069,36,34,2,sms,False,53619
CUST_00070,12,12,2,sms,False,31485
CUST_00071,6,5,1,email,False,15589
CUST_00072,24,23,3,sms,False,22374
CUST_00073,24,23,2,sms,False,30236
CUST_00074,12,10,1,sms,False,19670
CUST_00075,6,4,0,whatsapp,False,5872
CUST_00076,3,2,0,whatsapp,False,2180
CUST_00077,1,1,0,sms,False,2580
CUST_00078,3,2,0,email,False,4681
CUST_00079,6,3,0,sms,False,9776
CUST_00080,6,4,0,sms,False,8445
CUST_00081,3,3,0,whatsapp,False,4267
CUST_00082,36,34,6,whatsapp,False,37993
CUST_00083,12,7,1,sms,False,6031
CUST_00084,6,5,0,sms,False,8725
CUST_00085,6,6,1,whatsapp,False,5421
CUST_00086,12,10,1,whatsapp,False,6543
CUST_00087,3,2,0,whatsapp,False,6387
CUST_00088,3,3,0,whatsapp,False,4264
CUST_00089,6,6,1,whatsapp,False,10986
CUST_00090,6,5,0,whatsapp,False,7572
CUST_00091,6,6,1,whatsapp,False,8816
CUST_00092,1,1,0,sms,False,2135
CUST_00093,24,20,1,whatsapp,False,61483
CUST_00094,12,10,1,sms,False,9758
CUST_00095,24,22,0,sms,False,28720
CUST_00096,1,1,0,sms,False,1794
CUST_00097,3,3,0,sms,False,10365
CUST_00098,12,6,0,whatsapp,False,19815
CUST_00099,6,1,0,whatsapp,False,708
CUST_00100,12,12,2,whatsapp,True,22537
CUST_00101,12,12,2,sms,False,5115
CUST_00102,12,9,1,whatsapp,False,21969
CUST_00103,12,9,1,sms,False,10914
CUST_00104,6,3,0,whatsapp,False,7697
CUST_00105,1,1,0,email,False,491
CUST_00106,1,1,0,whatsapp,False,865
CUST_00107,24,23,3,sms,False,49399
CUST_00108,3,2,0,email,False,1376
CUST_00109,3,2,0,whatsapp,False,1763
CUST_00110,3,2,0,whatsapp,False,6942
CUST_00111,1,1,0,whatsapp,False,3205
CUST_00112,3,2,0,whatsapp,False,2534
CUST_00113,12,7,1,whatsapp,False,24491
CUST_00114,36,30,4,sms,False,93991
CUST_00115,36,36,8,whatsapp,False,48076
CUST_00116,24,14,0,whatsapp,False,11703
CUST_00117,12,12,2,whatsapp,False,25112
CUST_00118,12,8,0,email,False,25265
CUST_00119,12,10,0,sms,False,13046
CUST_00120,12,12,0,sms,False,40910
CUST_00121,12,6,1,sms,False,20482
CUST_00122,1,1,0,email,False,2144
CUST_00123,12,11,2,sms,False,14734
CUST_00124,24,24,3,sms,False,47305
CUST_00125,1,1,0,sms,False,3172
CUST_00126,12,12,0,sms,False,16163
CUST_00127,1,1,0,email,False,2604
CUST_00128,12,7,0,whatsapp,False,14401
CUST_00129,3,3,0,whatsapp,False,3623
CUST_00130,1,1,0,sms,False,1917
CUST_00131,1,1,0,sms,False,1324
CUST_00132,3,3,0,email,False,7278
CUST_00133,3,2,0,whatsapp,False,5161
CUST_00134,3,2,0,sms,True,2601
CUST_00135,36,35,3,email,False,84399
CUST_00136,1,1,0,whatsapp,False,1210
CUST_00137,24,18,4,sms,False,15956
CUST_00138,12,12,1,whatsapp,True,8181
CUST_00139,3,2,0,sms,False,5152
CUST_00140,6,3,0,sms,False,6132
CUST_00141,6,6,1,sms,False,18409
CUST_00142,6,5,1,sms,False,14528
CUST_00143,3,3,0,sms,False,9816
CUST_00144,12,12,1,sms,False,11755
CUST_00145,6,5,0,whatsapp,False,5409
CUST_00146,12,7,1,email,False,14523
CUST_00147,6,5,0,whatsapp,False,14015
CUST_00148,12,10,1,whatsapp,False,6250
CUST_00149,12,10,1,email,False,21207
CUST_00150,24,11,2,whatsapp,False,14311
CUST_00151,3,1,0,sms,False,2693
CUST_00152,1,1,0,whatsapp,False,2109
CUST_00153,6,5,1,whatsapp,False,13406
CUST_00154,3,2,0,whatsapp,False,4850
CUST_00155,1,1,0,whatsapp,False,1884
CUST_00156,3,1,0,email,False,928
CUST_00157,1,1,0,sms,False,1960
CUST_00158,12,10,1,sms,False,18791
CUST_00159,3,3,0,whatsapp,False,5686
CUST_00160,12,12,0,email,True,8188
CUST_00161,6,3,0,sms,False,1202
CUST_00162,6,3,0,sms,False,8667
CUST_00163,3,2,0,whatsapp,False,6574
CUST_00164,24,23,3,whatsapp,False,47807
CUST_00165,6,4,0,sms,False,10258
CUST_00166,6,4,0,sms,False,6959
CUST_00167,6,5,0,sms,False,10685
CUST_00168,24,23,3,whatsapp,False,14286
CUST_00169,1,1,0,whatsapp,True,1630
CUST_00170,36,34,2,whatsapp,False,80618
CUST_00171,6,4,0,sms,False,1689
CUST_00172,24,20,4,sms,False,47487
CUST_00173,6,6,0,whatsapp,False,3442
CUST_00174,36,30,5,sms,False,70512
CUST_00175,3,2,0,sms,False,6571
CUST_00176,12,8,0,sms,False,10028
CUST_00177,12,8,1,sms,False,4853
CUST_00178,1,1,0,whatsapp,False,1689
CUST_00179,12,12,0,whatsapp,False,21864
CUST_00180,36,30,4,email,False,39931
CUST_00181,24,24,4,whatsapp,False,71032
CUST_00182,3,2,0,sms,False,2168
CUST_00183,1,1,0,whatsapp,False,1007
CUST_00184,24,24,0,email,False,74235
CUST_00185,12,7,0,sms,False,16209
CUST_00186,24,9,0,whatsapp,False,14575
CUST_00187,6,5,0,whatsapp,False,5725
CUST_00188,36,30,2,email,False,83185
CUST_00189,12,9,1,whatsapp,False,20471
CUST_00190,3,2,0,whatsapp,False,2739
CUST_00191,1,1,0,sms,False,1830
CUST_00192,12,9,1,sms,False,28909
