payment_id,customer_id,amount,method,failed_at,error_reason,failure_class,has_active_mandate,attempt_number,invoice_due_date,arm
PAY_00000,CUST_00693,769,netbanking,2026-08-12T22:22:00,bank_cutoff_in_progress,technical_downtime,True,1,2026-08-13,control
PAY_00001,CUST_00719,1376,card,2026-08-20T17:56:00,funds_blocked_by_mandate,insufficient_funds,True,1,2026-08-27,treatment
PAY_00002,CUST_00538,435,card,2026-08-15T08:01:00,insufficient_funds,insufficient_funds,True,1,2026-08-19,treatment
PAY_00003,CUST_00087,3547,netbanking,2026-08-02T01:25:00,insufficient_funds,insufficient_funds,True,1,2026-08-06,treatment
PAY_00004,CUST_00276,1340,card,2026-08-02T16:10:00,insufficient_funds,insufficient_funds,True,1,2026-08-02,control
PAY_00005,CUST_00204,5193,upi,2026-08-16T21:47:00,card_declined,issuer_decline,False,1,2026-08-16,control
PAY_00006,CUST_00254,1753,upi,2026-08-24T22:25:00,payment_risk_check_failed,issuer_decline,True,1,2026-08-25,control
PAY_00007,CUST_00002,23208,upi,2026-08-28T02:24:00,gateway_technical_error,technical_downtime,False,1,2026-09-04,treatment
PAY_00008,CUST_00397,2430,card,2026-08-26T23:21:00,server_error,technical_downtime,True,1,2026-08-26,control
PAY_00009,CUST_00603,26011,card,2026-08-22T07:15:00,payment_cancelled,session_expiry,True,1,2026-08-23,treatment
PAY_00010,CUST_00094,47573,card,2026-08-18T20:23:00,incorrect_pin,customer_input_error,True,1,2026-08-18,control
PAY_00011,CUST_00680,561,upi,2026-08-12T06:20:00,psp_app_not_available,technical_downtime,True,1,2026-08-16,treatment
PAY_00012,CUST_00414,9719,upi,2026-08-05T22:03:00,insufficient_funds,insufficient_funds,True,1,2026-08-06,treatment
PAY_00013,CUST_00141,175,upi,2026-08-17T14:38:00,card_number_invalid,customer_input_error,False,1,2026-08-18,treatment
PAY_00014,CUST_00139,32573,card,2026-08-26T11:40:00,insufficient_funds,insufficient_funds,True,1,2026-08-30,control
PAY_00015,CUST_00573,450,upi,2026-08-18T22:21:00,card_expired,instrument_invalid,True,1,2026-08-23,treatment
PAY_00016,CUST_00407,234,card,2026-08-02T01:29:00,gateway_technical_error,technical_downtime,True,1,2026-08-04,treatment
PAY_00017,CUST_00179,2740,netbanking,2026-08-05T18:47:00,credit_limit_exceeded,limit_exceeded,True,1,2026-08-10,control
PAY_00018,CUST_00445,594,netbanking,2026-08-08T23:58:00,debit_instrument_blocked,issuer_decline,True,1,2026-08-15,treatment
PAY_00019,CUST_00649,6589,upi,2026-08-27T00:06:00,insufficient_funds,insufficient_funds,True,1,2026-08-30,treatment
PAY_00020,CUST_00265,3836,upi,2026-08-18T13:05:00,funds_blocked_by_mandate,insufficient_funds,False,1,2026-08-20,treatment
PAY_00021,CUST_00187,5376,netbanking,2026-08-01T16:25:00,funds_blocked_by_mandate,insufficient_funds,False,1,2026-08-03,treatment
PAY_00022,CUST_00636,2118,upi,2026-08-14T17:28:00,debit_declined,issuer_decline,False,1,2026-08-16,treatment
PAY_00023,CUST_00370,346,upi,2026-08-14T03:51:00,server_error,technical_downtime,True,1,2026-08-18,control
PAY_00024,CUST_00387,4570,card,2026-08-04T04:05:00,payment_collect_request_expired,session_expiry,False,1,2026-08-09,treatment
PAY_00025,CUST_00017,2069,upi,2026-08-22T22:17:00,debit_instrument_inactive,instrument_invalid,True,1,2026-08-25,treatment
PAY_00026,CUST_00150,1886,netbanking,2026-08-01T21:27:00,insufficient_funds,insufficient_funds,True,1,2026-08-03,treatment
PAY_00027,CUST_00283,5345,netbanking,2026-08-14T17:01:00,invalid_vpa,customer_input_error,True,1,2026-08-16,control
PAY_00028,CUST_00379,194,card,2026-08-22T23:17:00,insufficient_funds,insufficient_funds,False,1,2026-08-26,treatment
PAY_00029,CUST_00434,427,card,2026-08-08T15:09:00,bank_not_available,technical_downtime,False,1,2026-08-11,control
PAY_00030,CUST_00637,4939,card,2026-08-02T02:05:00,card_number_invalid,customer_input_error,True,1,2026-08-09,treatment
PAY_00031,CUST_00477,5678,netbanking,2026-08-18T13:02:00,user_not_eligible,issuer_decline,True,1,2026-08-18,treatment
PAY_00032,CUST_00595,285,card,2026-08-28T20:29:00,incorrect_card_expiry_date,customer_input_error,True,1,2026-09-04,treatment
PAY_00033,CUST_00169,2276,card,2026-08-01T15:59:00,incorrect_cvv,customer_input_error,True,1,2026-08-03,treatment
PAY_00034,CUST_00057,556,upi,2026-08-15T03:26:00,mandate_creation_failed,mandate_failure,False,1,2026-08-22,treatment
PAY_00035,CUST_00207,350,card,2026-08-25T18:40:00,invalid_vpa,customer_input_error,True,1,2026-08-28,control
PAY_00036,CUST_00573,1980,card,2026-08-01T05:51:00,debit_instrument_blocked,issuer_decline,True,1,2026-08-01,control
PAY_00037,CUST_00685,2487,card,2026-08-07T04:13:00,payment_risk_check_failed,issuer_decline,False,1,2026-08-13,treatment
PAY_00038,CUST_00564,325,upi,2026-08-15T08:25:00,funds_blocked_by_mandate,insufficient_funds,True,1,2026-08-16,treatment
PAY_00039,CUST_00373,2332,card,2026-08-05T02:20:00,incorrect_otp,customer_input_error,False,1,2026-08-05,treatment
PAY_00040,CUST_00664,7579,upi,2026-08-09T05:18:00,payment_session_expired,session_expiry,False,1,2026-08-13,treatment
PAY_00041,CUST_00067,9131,card,2026-08-01T09:58:00,transaction_daily_limit_exceeded,limit_exceeded,False,1,2026-08-04,control
PAY_00042,CUST_00386,305,netbanking,2026-08-12T22:35:00,funds_blocked_by_mandate,insufficient_funds,True,1,2026-08-17,treatment
PAY_00043,CUST_00095,1031,upi,2026-08-01T03:56:00,server_error,technical_downtime,False,1,2026-08-07,treatment
PAY_00044,CUST_00565,351,upi,2026-08-24T03:08:00,insufficient_funds,insufficient_funds,False,1,2026-08-31,treatment
PAY_00045,CUST_00265,474,upi,2026-08-28T20:02:00,pin_attempts_exceeded,temporary_lockout,True,1,2026-09-02,treatment
